Name EN,Name ZH
"Adventures of the Rocketeer, The (Japan)",火箭人历险记
Adventures of Yogi Bear (USA),瑜伽熊历险记
Aero Fighters (USA),铁鹰战士
Aero the Acro-Bat (Europe),飞天蝙蝠
Aero the Acro-Bat (USA),飞天蝙蝠
Aero the Acro-Bat 2 (Europe),飞天蝙蝠2
Aero the Acro-Bat 2 (USA),飞天蝙蝠2
Aerobiz (USA),航空产业
Aerobiz Supersonic (USA),航空产业-超音速版
Aguri Suzuki F-1 Super Driving (Europe),铃木亚久里F1超级赛车
AIII S.V. - A Ressha de Ikou 3 - Super Version (Japan),A列车3-超级版
Air Cavalry (Europe),空中骑兵直昇机
Air Cavalry (USA),空中骑兵直昇机
Air Management - Oozora ni Kakeru (Japan),航空产业
Air Management - Oozora ni Kakeru (Japan) (Rev 1),航空产业
Air Management II - Koukuu Ou o Mezase (Japan),航空产业2
Akagawa Jirou - Majo-tachi no Nemuri (Japan),赤川次郎-魔女之眠
Akazukin Chacha (Japan),小红帽恰恰
Akumajou Dracula (Japan),恶魔城
Akumajou Dracula XX (Japan),恶魔城XX
Al Unser Jr.'s Road to the Top (Europe),飞驰至顶点
Al Unser Jr.'s Road to the Top (USA),飞驰至顶点
Aladdin (Europe),阿拉丁
Aladdin (France),阿拉丁
Aladdin (Germany),阿拉丁
Aladdin (Japan),阿拉丁
Aladdin (Spain),阿拉丁
Aladdin (USA),阿拉丁
Albert Odyssey (Japan),英雄圣战
Albert Odyssey 2 - Jashin no Taidou (Japan),英雄圣战2-邪神之胎动
Alcahest (Japan),地底魔神
Alfred Chicken (Europe),神鸡艾烈佛
Alice no Paint Adventure (Japan),爱丽丝的绘画冒险
Alien 3 (Europe),异形3
Alien 3 (Japan),异形3
Alien 3 (USA),异形3
Alien vs Predator (Europe),异形对终极战士
Alien vs Predator (USA),异形对终极战士
Aliens vs. Predator (Japan),异形对终极战士
All-American Championship Football (Europe),全美冠军足球赛
"Amazing Spider-Man, The - Lethal Foes (Japan)",神奇蜘蛛侠-致命强敌
America Oudan Ultra Quiz (Japan),美国横断
American Battle Dome (Japan),对战弹珠台
American Gladiators (USA),美国电视斗士
"American Tail, An - Fievel Goes West (Europe)",美国鼠谭-西部枪鼠
"American Tail, An - Fievel Goes West (USA)",美国鼠谭-西部枪鼠
Ancient Magic - Bazoe! Mahou Sekai (Japan),魔法世界
Andre Agassi Tennis (Japan) (En),阿格西网球
Andre Agassi Tennis (USA),阿格西网球
Angelique (Japan),女王学院
Angelique (Japan) (Premium Box),女王学院
Angelique - Voice Fantasy (Japan),安琪莉可-语音幻想
Animal Buranden - Brutal (Japan),动物武斗传
Animaniacs (Europe),卡通集锦
Animaniacs (Japan),卡通集锦
Animaniacs (USA),卡通集锦
Another World (Europe),另一个世界
Aoki Densetsu Shoot! (Japan),足球风云
Appleseed - Prometheus no Shintaku (Japan),苹果核战
Aqutallion (Japan),超时空战士
Arabian Nights - Sabaku no Seirei Ou (Japan),阿拉伯奇遇
Araiguma Rascal (Japan),浣熊方块
Arcade's Greatest Hits - The Atari Collection 1 (Europe),街机经典合集-雅达利合集1
Arcade's Greatest Hits - The Atari Collection 1 (USA),街机经典合集-雅达利合集1
Arcana (USA),魔幻精灵卡
Arcus Spirits (Japan),亚克斯传说
Ardy Lightfoot (Europe),光脚阿迪
Ardy Lightfoot (Japan),光脚阿迪
Ardy Lightfoot (USA),光脚阿迪
Area 88 (Japan),战区88
Aretha (Japan),阿蕾莎
Aretha II - Ariel no Fushigi na Tabi (Japan),阿蕾莎2
Arkanoid (Europe),快打砖块
Arkanoid - Doh It Again (Japan) (En),快打砖块-Doh再现
Arkanoid - Doh It Again (USA),快打砖块-Doh再现
Art of Fighting (Europe),龙虎之拳
Art of Fighting (USA),龙虎之拳
Aryol (Japan),动态拼图
Asahi Shinbun Rensai - Katou Hifumi Kudan Shougi - Shingiryuu (Japan),加藤123九段将棋
Asameshimae Nyanko (Japan),小猫物语
Ashita no Joe (Japan),小拳王
"Asterix (Europe) (En,Fr,De,Es)",美丽新世界
"Asterix & Obelix (Europe) (En,Fr,De,Es)",美丽新世界2
"Atlas, The - Renaissance Voyager (Japan)",佛罗伦斯航海者
Axelay (Europe),银河风暴
Axelay (Japan),银河风暴
Axelay (USA),银河风暴
B.O.B. (Europe),蚂蚁战士
B.O.B. (USA),蚂蚁战士
Bahamut Lagoon (Japan),神龙骑兵
Bakukyuu Renpatsu!! Super B-Daman (Japan),弹珠超人
Bakumatsu Kourinden Oni (Japan),幕末降临传
Bakutou Dochers - Bumps-jima wa Oosawagi (Japan),暴投-动物大混战
Ball Bullet Gun (Japan),BB枪大作战
Ballz 3D - Fighting at Its Ballziest (USA),3D球
Barbarossa (Japan),巴巴罗萨
Barbie Super Model (USA),芭比-超级模特儿
Barkley no Power Dunk (Japan) (En),巴克利强力灌篮
Barkley Shut Up and Jam! (Europe),巴克利篮球
Barkley Shut Up and Jam! (USA),巴克利篮球
BASS Masters Classic (Japan),巴斯钓鱼大师教室
BASS Masters Classic (USA),巴斯钓鱼大师教室
BASS Masters Classic - Pro Edition (Europe),巴斯大师教室-专业
BASS Masters Classic - Pro Edition (USA),巴斯大师教室-专业
Bassin's Black Bass (USA),猛钓黑巴斯
Bastard!! - Ankoku no Hakaishin (Japan),暗黑的破坏神
Batman Forever (Europe),永远的蝙蝠侠
Batman Forever (Japan) (En),永远的蝙蝠侠
Batman Forever (USA),永远的蝙蝠侠
Batman Returns (Europe),蝙蝠侠重现江湖
Batman Returns (Japan) (En),蝙蝠侠重现江湖
Batman Returns (USA),蝙蝠侠重现江湖
Battle Blaze (Japan) (En),究极战士
Battle Blaze (USA),究极战士
Battle Cars (USA),战斗赛车
Battle Clash (Europe),战斗冲击
Battle Clash (USA),战斗冲击
"Battle Commander - Hachibushuu, Shura no Heihou (Japan)",SD指挥官
Battle Cross (Japan),火柴摩托车赛
Battle Dodge Ball (Japan),SD躲避球
Battle Dodge Ball II (Japan),SD躲避球2
Battle Grand Prix (Japan) (En),战斗GP赛车
Battle Grand Prix (USA),战斗GP赛车
Battle Jockey (Japan),战斗赛马
Battle Master - Kyuukyoku no Senshi-tachi (Japan),格斗大师-究极之战士
Battle Pinball (Japan),SD弹珠台
Battle Racers (Japan),SD赛车
Battle Robot Retsuden (Japan),战斗机器人
Battle Soccer - Field no Hasha (Japan),SD足球
Battle Soccer 2 (Japan),SD足球2
Battle Submarine (Japan),战斗潜水艇
Battle Tycoon - Flash Hiders SFX (Japan),闪电斗士
Battle Tycoon - Flash Hiders SFX (Japan) (Rev 1),闪电斗士
Battle Zeque Den (Japan),斗姬传
BattleTech (Japan),战斗机甲
BattleTech 3050 (Japan),机甲争霸3050年
Battletoads in Battlemaniacs (Europe),忍者蛙
Battletoads in Battlemaniacs (Japan),忍者蛙
Battletoads in Battlemaniacs (USA),忍者蛙
Battletoads-Double Dragon (Europe),忍者蛙与双截龙
Battletoads-Double Dragon (USA),忍者蛙与双截龙
Bazooka Blitzkrieg (USA),激战火箭炮
Beauty and the Beast (Europe),美女与野兽
Beauty and the Beast (USA),美女与野兽
Beavis and Butt-Head (Europe),MTV双傻
Beavis and Butt-Head (USA),MTV双傻
Bebe's Kids (USA),宝贝小孩
Beethoven - The Ultimate Canine Caper! (Europe),我家也有贝多芬
Beethoven - The Ultimate Canine Caper! (USA),我家也有贝多芬
Benkei Gaiden - Suna no Shou (Japan),弁庆外传-沙之章
Best of the Best - Championship Karate (Europe),自由搏击
Best of the Best - Championship Karate (USA),自由搏击
Best Shot Pro Golf (Japan),专业一杆高尔夫球
Big Ichigeki! Pachi-Slot Daikouryaku (Japan),柏青哥嫂大攻略
Big Ichigeki! Pachi-Slot Daikouryaku 2 - Universal Collection (Japan),柏青哥嫂大攻略2
Big Sky Trooper (Europe),天空骑兵
Big Sky Trooper (USA),天空骑兵
Bijo to Yajuu (Japan),美女与野兽
Bike Daisuki! Hashiriya Tamashii (Japan),魂电单车
Biker Mice from Mars (Europe),火星老鼠赛车
Biker Mice from Mars (USA),火星老鼠赛车
Bill Laimbeer's Combat Basketball (USA),战斗篮球
Bill Walsh College Football (USA),比尔华续大学篮球
Bing Bing! Bingo (Japan),乐趣宾果岛
BioMetal (Europe),生化金属战机
BioMetal (Japan) (En),生化金属战机
BioMetal (USA),生化金属战机
Bishin Densetsu Zoku (Japan),美神传说
Bishoujo Janshi Suchie-Pai (Japan),美少女雀士
Bishoujo Janshi Suchie-Pai (Japan) (Rev 1),美少女雀士
Bishoujo Senshi Sailor Moon (Japan),美少女战士
Bishoujo Senshi Sailor Moon - Another Story (Japan),美少女战士2
Bishoujo Senshi Sailor Moon R (Japan),美少女战士R
Bishoujo Senshi Sailor Moon S - Jougai Rantou! Shuyaku Soudatsusen (Japan),美少女战士S
Bishoujo Senshi Sailor Moon S - Kondo wa Puzzle de Oshioki yo! (Japan),美少女战士S-2
Bishoujo Senshi Sailor Moon S - Kurukkurin (Japan),美少女战士S-3
Bishoujo Senshi Sailor Moon SuperS - Fuwafuwa Panic (Japan),美少女战士射波
Bishoujo Senshi Sailor Moon SuperS - Zenin Sanka!! Shuyaku Soudatsusen (Japan),美少女战士超级S
Bishoujo Wrestler Retsuden - Blizzard Yuki Rannyuu!! (Japan),美少女摔角列传-暴雪Yuki参战
"Blackhawk (Europe) (En,Fr,De)",黑暗之鹰
Blackthorne (USA),黑暗之鹰
Blackthorne - Fukushuu no Kuroki Toge (Japan),黑暗之鹰-复仇黑刺
BlaZeon (Japan) (En),究极合体战机
BlaZeon - The Bio-Cyborg Challenge (USA),魂之光辉
Blazing Skies (Europe),飞行密令
Block Kuzushi (Japan),究极打砖块
"Blue Crystalrod, The (Japan)",蓝色水晶杖
"Blues Brothers, The (Europe)",布鲁斯兄弟
"Blues Brothers, The (Japan)",布鲁斯兄弟
"Blues Brothers, The (USA)",布鲁斯兄弟
Bokujou Monogatari (Japan),牧场物语
Bokujou Monogatari (Japan) (Rev 1),牧场物语
Bomberman B-Daman (Japan),超级炸弹人益智篇
Bombuzal (Japan),爆破精灵
Bonkers (USA),邦克大进击
Bonkers - Hollywood Daisakusen! (Japan),邦克斯-好莱坞大作战
Boogerman - A Pick and Flick Adventure (Europe),伯格人
Boogerman - A Pick and Flick Adventure (USA),伯格人
Bounty Sword (Japan),赏金剑客
Boxing Legends of the Ring (Europe),拳击-铃声传说
Boxing Legends of the Ring (USA),拳击-铃声传说
Brain Lord (Japan),智慧王者
Brain Lord (USA),智慧王者
"Brainies, The (Europe)",动动脑
"Brainies, The (USA)",动动脑
Bram Stoker's Dracula (Europe),吸血鬼德古拉
Bram Stoker's Dracula (USA),吸血鬼德古拉
Brandish (Japan),星间游侠
Brandish (USA),星间游侠
Brandish 2 - Expert (Japan),撼天神塔2-专家
Brandish 2 - The Planet Buster (Japan),撼天神塔2-行星破坏者
Brawl Brothers (USA),快打刑事-格斗兄弟
Brawl Brothers - Rival Turf! 2 (Europe),格斗兄弟-敌对领地2
BreakThru! (USA),点点方块
Breath of Fire (USA),龙战士
Breath of Fire - Ryuu no Senshi (Japan),龙战士
Breath of Fire II (Europe),龙战士2
Breath of Fire II (USA),龙战士2
Breath of Fire II - Shimei no Ko (Japan),龙战士2-使命之子
Breath of Fire II - Shimei no Ko (Japan) (Rev 1),龙战士2-使命之子
Brett Hull Hockey (Europe),冰上曲棍球
Brett Hull Hockey (USA),冰上曲棍球
Brett Hull Hockey 95 (USA),冰上曲棍球'95
"Bronkie the Bronchiasaurus (USA) (En,Es)",布朗基亚龙
Brunswick World Tournament of Champions (USA),布伦瑞克保龄球冠军赛
"Brutal - Paws of Fury (Europe) (En,Fr,De)",动物快打
Brutal - Paws of Fury (USA),动物快打
BS-X - Sore wa Namae o Nusumareta Machi no Monogatari (Japan) (Rev 1),BSX-遗忘之城
Bubsy II (Europe),巴比斯2
Bubsy II (USA),巴比斯2
Bubsy in - Claws Encounters of the Furred Kind (Europe),巴比斯
Bubsy in - Claws Encounters of the Furred Kind (Germany) (En),巴比斯
Bubsy in - Claws Encounters of the Furred Kind (USA),巴比斯
Bugs Bunny - Hachamecha Daibouken (Japan),兔宝宝
Bugs Bunny - Rabbit Rampage (Europe),兔宝宝
Bugs Bunny - Rabbit Rampage (USA),兔宝宝
Bulls vs Blazers and the NBA Playoffs (Europe),公牛对开拓者-季后赛
Bulls vs Blazers and the NBA Playoffs (Europe) (Rev 1),公牛对开拓者-季后赛
Bulls vs Blazers and the NBA Playoffs (USA),公牛对开拓者-季后赛
Bulls vs Blazers and the NBA Playoffs (USA) (Rev 1),公牛对开拓者-季后赛
Burai - Hachigyoku no Yuushi Densetsu (Japan),光明八勇士
Bushi Seiryuuden - Futari no Yuusha (Japan),青龙传
Bust-A-Move (USA),泡泡龙射波
Cacoma Knight (Japan),卡通天蚕变
Cacoma Knight in Bizyland (USA),卡通天蚕变
Cal Ripken Jr. Baseball (Europe),卡尔棒球测试版
Cal Ripken Jr. Baseball (USA),卡尔棒球测试版
"California Games II (Europe) (En,Fr,De)",加州游戏2
"California Games II (Japan) (En,Ja)",加州游戏2
California Games II (USA),加州游戏2
Cameltry (Japan),360度滚球
Cannon Fodder (Europe),勇士们
Cannondale Cup (USA),无敌风火轮脚踏车
Capcom's MVP Football (USA),卡普空MVP足球
Capcom's Soccer Shootout (USA),卡普空足球射网
Captain America and the Avengers (Europe),美国上尉
Captain America and the Avengers (USA),美国上尉
Captain Commando (Europe),上尉密令
Captain Commando (Japan),上尉密令
Captain Commando (USA),上尉密令
"Captain Novolin (USA) (En,Fr,Es)",健康管理上尉
Captain Tsubasa III - Koutei no Chousen (Japan),天使之翼3
Captain Tsubasa IV - Pro no Rival-tachi (Japan),天使之翼4
Captain Tsubasa J - The Way to World Youth (Japan),天使之翼J
Captain Tsubasa V - Hasha no Shougou Campione (Japan),天使之翼5
Caravan Shooting Collection (Japan) (En),射击游戏合辑
Card Master - Rimusaria no Fuuin (Japan),魔幻精灵卡
Carrier Aces (Europe),神风特攻队
Carrier Aces (Japan) (En),神风特攻队
Carrier Aces (USA),神风特攻队
Casper (Europe),鬼马小精灵
Casper (Japan),鬼马小精灵
Casper (USA),鬼马小精灵
Castlevania - Dracula X (USA),恶魔城X
Castlevania - Vampire's Kiss (Europe),恶魔城
CB Chara Wars - Ushinawareta Gag (Japan),CB世界
"Champions - World Class Soccer (Europe) (En,Fr,De,Es)",世界级足球赛
Champions - World Class Soccer (Japan),世界级足球赛
"Champions - World Class Soccer (USA) (En,Fr,De,Es)",世界级足球赛
Championship Pool (Europe),冠军桌球赛
Championship Pool (USA),冠军桌球赛
"Championship Soccer '94 (USA) (En,Fr,De,It)",冠军足球赛'94
"Chaos Engine, The (Europe)",混乱引擎
Chaos Seed - Fuusui Kairouki (Japan),风水回廊记
Chavez (USA) (Es),查尔斯拳击
Chavez II (USA) (Es),查尔斯拳击2
"Chessmaster, The (Europe)",西洋棋大师
"Chessmaster, The (Japan)",西洋棋大师
"Chessmaster, The (USA)",西洋棋大师
Chester Cheetah - Too Cool to Fool (USA),起司豹
Chester Cheetah - Wild Wild Quest (USA),起司豹2
Chibi Maruko-chan - Harikiri 365-nichi no Maki (Japan),小丸子-365天日记
Chibi Maruko-chan - Mezase! Minami no Island!! (Japan),小丸子-南国岛游乐
Chinhai (Japan),陈牌
Choplifter III (Europe),超级直升机3
Choplifter III - Rescue-Survive (Japan) (En),超级直升机3-生死救援
Choplifter III - Rescue-Survive (USA),超级直升机3-生死救援
Chou Aniki - Bakuretsu Rantou Hen (Japan),超兄贵-爆裂乱斗篇
Chou Mahou Tairiku WOZZ (Japan),超魔法大陆-沃兹
Chou Makai Taisen! Dorabocchan (Japan),超魔界大战
Chou Makaimura (Japan),超魔界村
Choujikuu Yousai Macross - Scrambled Valkyrie (Japan) (En),超时空要塞
Choukou Gasshin Xardion (Japan),超攻合神
Chrono Trigger (Japan),超时空之轮
Chrono Trigger (USA),超时空之轮
Chuck Rock (Europe),呆呆原始人
Chuck Rock (USA),呆呆原始人
Circuit USA (Japan) (En),美国巡回赛车
Civilization - Sekai Shichi Daibunmei (Japan),文明帝国
Classic Road (Japan),赛马之道
Classic Road II (Japan),赛马之道2
Clay Fighter (Europe),变种格斗
Clay Fighter (USA),变种格斗
Clay Fighter - Tournament Edition (USA),变种格斗TE
Clay Fighter 2 - Judgment Clay (Europe),变种格斗2
Clay Fighter 2 - Judgment Clay (USA),变种格斗2
Claymates (Europe),自由变形人
Claymates (USA),自由变形人
Cliffhanger (Europe),颠峰战士
Cliffhanger (USA),颠峰战士
Clock Tower (Japan),钟楼惊魂
Clockwerx (Japan),时钟职人
Clue (USA),生活大富翁
College Football USA 97 (USA),美国大学橄榄球'97
College Slam (USA),大学篮球
Columns (Japan) (NP),宝石方块
"Combatribes, The (Japan)",庞克勇士
"Combatribes, The (USA)",庞克勇士
Computer Nouryoku Kaiseki - Ultra Baken (Japan),脑力分析必胜马券
Congo's Caper (Europe),冈果小子
Congo's Caper (USA),冈果小子
Contra III - The Alien Wars (USA),魂斗罗3
Contra Spirits (Japan) (En),魂斗罗
Controller Test Cassette (Japan),控制器测试卡带
Conveni Wars Barcode Battler Senki - Super Senshi Shutsugeki seyo! (Japan),条码战记
Cool Spot (Europe),酷小子
Cool Spot (Japan),酷小子
Cool Spot (USA),酷小子
Cool World (Spain) (En),酷世界
Cool World (USA),酷世界
Coron Land (Japan),可龙岛
Cosmo Gang - The Puzzle (Japan),外星大眼生物方块
Cosmo Gang - The Video (Japan),外星大眼小蜜蜂
Cosmo Police Galivan II - Arrow of Justice (Japan),外星特警2
Crayon Shin-chan - Arashi o Yobu Enji (Japan),蜡笔小新-幼稚园风云儿
Crayon Shin-chan 2 - Daimaou no Gyakushuu (Japan),蜡笔小新2-大魔王反攻
Crystal Beans from Dungeon Explorer (Japan),晶沙之城堡探险
Cu-On-Pa SFC (Japan),酷昂八
CutThroat Island (Europe),割喉岛
CutThroat Island (USA),割喉岛
Cyber Knight (Japan),资讯骑士
Cyber Knight II - Chikyuu Teikoku no Yabou (Japan),资讯骑士2
Cyber Spin (USA),回旋环绕赛车
Cybernator (Europe),机动装甲
Cybernator (USA),机动装甲
Cyborg 009 (Japan),无敌超人009
D-Force (USA),地球防卫部队
Daffy Duck - The Marvin Missions (Europe),达菲鸭-火星任务
Daffy Duck - The Marvin Missions (USA),达菲鸭-火星任务
Dai-3-ji Super Robot Taisen (Japan),第三次超级机器人大战
Dai-3-ji Super Robot Taisen (Japan) (Rev 1),第三次超级机器人大战
Dai-3-ji Super Robot Taisen (Japan) (Rev 2),第三次超级机器人大战
Dai-4-ji Super Robot Taisen (Japan),第四次超级机器人大战
Dai-4-ji Super Robot Taisen (Japan) (Rev 1),第四次超级机器人大战
Daibakushou Jinsei Gekijou (Japan),人生剧场-无常篇
Daibakushou Jinsei Gekijou - Dokidoki Seishun Hen (Japan),大爆笑人生剧场
Daibakushou Jinsei Gekijou - Ooedo Nikki (Japan),人生剧场-青春篇
Daibakushou Jinsei Gekijou - Zukkoke Salaryman Hen (Japan),人生剧场-大江户日记
Daikaijuu Monogatari (Japan),大贝兽物语
Daikaijuu Monogatari (Japan) (Rev 1),大贝兽物语
Daikaijuu Monogatari II (Japan),大贝兽物语2
Daikoukai Jidai II (Japan),大航海时代2
Daisenryaku Expert (Japan),大战略-专业版
Daisenryaku Expert WWII - War in Europe (Japan),大战略-专业版-WW2
Darius Force (Japan) (En),太空战斗机
Darius Twin (Europe),太空战斗机2
Darius Twin (Japan),太空战斗机2
Darius Twin (USA),太空战斗机2
Dark Half (Japan),隐逝的黑暗
Dark Kingdom (Japan),黑暗领域
Dark Law - Meaning of Death (Japan),黑暗法律
Date Kimiko no Virtual Tennis (Japan),伊达公子网球
David Crane's Amazing Tennis (Europe),大卫克拉尼网球
David Crane's Amazing Tennis (Japan),大卫克拉尼网球
David Crane's Amazing Tennis (USA),大卫克拉尼网球
Daze Before Christmas (Europe),圣诞老人大进击
Dead Dance (Japan),死亡烈斗
Deae Tonosama Appare Ichiban (Japan),白痴殿下总动员
Dear Boys (Japan),灌篮少年
"Death and Return of Superman, The (Europe)",超人-死里逢生
"Death and Return of Superman, The (USA)",超人-死里逢生
Death Brade (Japan),死亡摔角
Dekitate High School (Japan),美少女高校经营
Demolition Man (Europe),毁灭者
Demolition Man (USA),毁灭者
Demon's Blazon - Makaimura Monshou Hen (Japan),魔界村外传-纹章篇
Demon's Crest (Europe),魔界村外传-纹章篇
Demon's Crest (USA),魔界村外传-纹章篇
Dennis (Europe),丹尼斯历险
Dennis the Menace (USA),丹尼斯家中历险
Densetsu no Ogre Battle - The March of the Black Queen (Japan),皇家骑士团
Densetsu no Ogre Battle - The March of the Black Queen (Japan) (NP),皇家骑士团
Derby Jockey - Kishu Ou e no Michi (Japan),德贝赛马-骑手王之道
Derby Jockey - Kishu Ou e no Michi (Japan) (Rev 1),德贝赛马-骑手王之道
Derby Jockey 2 (Japan),德贝赛马2
Derby Stallion 96 (Japan),德贝育马'96
Derby Stallion 98 (Japan) (NP),德贝育马'98
Derby Stallion II (Japan),德贝育马2
Derby Stallion III (Japan),德贝育马3
Derby Stallion III (Japan) (Rev 2),德贝育马3
Derby Stallion III (Japan) (Rev 3),德贝育马3
Desert Fighter (Europe),沙漠雄鹰
Desert Fighter - Suna no Arashi Sakusen (Japan),沙漠雄鹰-沙暴作战
Desert Strike - Return to the Gulf (Europe),沙漠风暴-重返海湾
Desert Strike - Return to the Gulf (USA),沙漠风暴-重返海湾
Desert Strike - Wangan Sakusen (Japan),沙漠突袭-波斯湾战争
Destructive (Japan),超级导弹毁灭者
Dharma Doujou (Japan),达摩道场
Dig & Spike Volleyball (USA),排球世界决定战
Dimension-Force (Japan) (En),垂直作战
"Dino Dini's Soccer! (Europe) (En,Fr,De)",迪诺足球
DinoCity (Europe),恐龙王国大冒险
DinoCity (USA),恐龙王国大冒险
Dinowars - Kyouryuu Oukoku e no Daibouken (Japan),恐龙战争-恐龙王国的大冒险
"Dirt Racer (Europe) (En,Fr,De)",髒污赛车
Dirt Trax FX (Europe),立体黑暗摩托车
Dirt Trax FX (USA),立体黑暗摩托车
Dokapon 3-2-1 - Arashi o Yobu Yuujou (Japan),多卡波王国3.2.1
Dokapon Gaiden - Honoo no Audition (Japan),多卡波王国外传
Dokuritsu Sensou - Liberty or Death (Japan),独立战争-自由或死亡
Dolucky no A.League Soccer (Japan),猫仔哥足球
Dolucky no Kusayakiu (Japan),猫仔哥棒球
Dolucky no Puzzle Tour '94 (Japan),猫仔哥方块
Donald Duck no Mahou no Boushi (Japan),唐老鸭-魔法之法螺
Donald Duck no Maui Mallard (Japan),唐老鸭-茂伊煮鸭记
Donald in Maui Mallard (Europe),唐老鸭在毛伊岛
"Donkey Kong Country (Europe) (En,Fr,De)",超级大金刚
"Donkey Kong Country (Europe) (En,Fr,De) (Rev 1)",超级大金刚
Donkey Kong Country (USA),超级大金刚
Donkey Kong Country (USA) (Rev 1),超级大金刚
Donkey Kong Country (USA) (Rev 2),超级大金刚
"Donkey Kong Country - Competition Cartridge (USA) (Competition Cart, Nintendo Power mail-order)",超级大金刚2-竞赛卡
"Donkey Kong Country 2 - Diddy's Kong Quest (Europe) (En,Fr) (Rev 1)",超级大金刚2
"Donkey Kong Country 2 - Diddy's Kong Quest (Germany) (En,De)",超级大金刚2
"Donkey Kong Country 2 - Diddy's Kong Quest (Germany) (En,De) (Rev 1)",超级大金刚2
"Donkey Kong Country 2 - Diddy's Kong Quest (USA) (En,Fr)",超级大金刚2
"Donkey Kong Country 2 - Diddy's Kong Quest (USA) (En,Fr) (Rev 1)",超级大金刚2
"Donkey Kong Country 3 - Dixie Kong's Double Trouble! (Europe) (En,Fr,De)",超级大金刚3
"Donkey Kong Country 3 - Dixie Kong's Double Trouble! (USA) (En,Fr)",超级大金刚3
Doom (Europe),毁灭战士
Doom (Japan) (En),毁灭战士
Doom (USA),毁灭战士
Doom Troopers (USA),毁灭骑兵
Doomsday Warrior (USA),末日战士
Doraemon - Nobita to Yousei no Kuni (Japan),哆啦A梦-大雄与妖精王国
Doraemon 2 - Nobita no Toys Land Daibouken (Japan),哆啦A梦2
Doraemon 3 - Nobita to Toki no Hougyoku (Japan),哆啦A梦3
Doraemon 4 - Nobita to Tsuki no Oukoku (Japan),哆啦A梦4
DoReMi Fantasy - Milon no Dokidoki Daibouken (Japan),多拉米的幻想
Dossun! Ganseki Battle (Japan),岩石方块大战
Double Dragon V - The Shadow Falls (Europe),双截龙5
Double Dragon V - The Shadow Falls (USA),双截龙5
Doukyuusei 2 (Japan) (NP),同级生2
Down the World - Mervil's Ambition (Japan),直到世界末日
Downtown - Nekketsu Baseball Monogatari - Yakyuu de Shoubu da! Kunio-kun (Japan),热血棒球
Dr. Mario (Japan) (En) (NP),马里奥医生
Dragon - The Bruce Lee Story (Europe),李小龙传
Dragon - The Bruce Lee Story (USA),李小龙传
Dragon Ball Z - Chomutujeon (Korea),龙珠Z-超武斗传
Dragon Ball Z - Hyper Dimension (France),龙珠Z-超次元战记
Dragon Ball Z - Hyper Dimension (Japan),龙珠Z-超次元战记
Dragon Ball Z - La Legende Saien (France),龙珠Z-超武斗传2
Dragon Ball Z - Super Butouden (France),龙珠Z-超武斗传
Dragon Ball Z - Super Butouden (Japan),龙珠Z-超武斗传
